"lfdnr";"lfdnr2";"Finanzposition";"Bezeichnung";"EinAus";"Teilabschnitt";"RQ";"FG";"SN";"AOB";"AnfZahlungsrueckstand";"LaufendesSoll";"GesamtSoll";"Ist";"SchliesslicheRueckstaende";"Voranschlag";"NachtragsVoranschlage";"GesamtVoranschlag";"UnterschiedLFDSollGesamtVAGuenstiger";"UnterschiedLFDSollGesamtVAUnguenstiger";"zahl";"pol1";"pol2";"pol3";"pol4";"pol5";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"polAgg3";"ecoAgg3";"polAgg5";"ecoAgg6";"year"
"9343";9343;"6.64000.298102";"RÜCKLAGEN ENTNAHME AUSGLEICHSRÜCKLAGE";"EINNAHME";64000;51;9;"D";"0800";"     422607.94";"          0.00";"     422607.94";"     422607.94";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"4";"0";"0";"0";"2";"9";"8";"1";"0";"2";"640";"298";"64000";"298102";"2011"
"9344";9344;"6.64000.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";64000;55;9;"D";"0800";"          0.00";"     207608.72";"     207608.72";"     207608.72";"          0.00";"     405000.00";"      80000.00-";"     325000.00";"          0.00";"     117391.28-";"6";"6";"4";"0";"0";"0";"3";"4";"6";"0";"0";"0";"640";"346";"64000";"346000";"2011"
"9345";9345;"6.64900.298102";"RÜCKLAGEN ENTNAHME AUSGLEICHSRÜCKLAGE";"EINNAHME";64900;51;9;"D";"0800";"     402930.30";"          0.00";"     402930.30";"     402930.30";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"4";"9";"0";"0";"2";"9";"8";"1";"0";"2";"649";"298";"64900";"298102";"2011"
"9346";9346;"6.64900.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";64900;55;9;"D";"0800";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"     559300.00";"     559300.00";"          0.00";"     559300.00-";"6";"6";"4";"9";"0";"0";"3";"4";"6";"0";"0";"0";"649";"346";"64900";"346000";"2011"
"9347";9347;"6.65100.298102";"RÜCKLAGEN ENTNAHME AUSGLEICHSRÜCKLAGE";"EINNAHME";65100;51;9;"D";"0800";"      23420.53";"          0.00";"      23420.53";"      23420.53";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"5";"1";"0";"0";"2";"9";"8";"1";"0";"2";"651";"298";"65100";"298102";"2011"
"9348";9348;"6.65100.298402";"RÜCKLAGEN ENTNAHME GRUNDSTÜCKSRÜCKLAGE";"EINNAHME";65100;51;9;"D";"0800";"    4119302.70";"          0.00";"    4119302.70";"    4119302.70";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"5";"1";"0";"0";"2";"9";"8";"4";"0";"2";"651";"298";"65100";"298402";"2011"
"9349";9349;"6.65100.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";65100;55;9;"D";"0800";"          0.00";"   16548291.40";"   16548291.40";"   16548291.40";"          0.00";"          0.00";"     290000.00";"     290000.00";"   16258291.40-";"          0.00";"6";"6";"5";"1";"0";"0";"3";"4";"6";"0";"0";"0";"651";"346";"65100";"346000";"2011"
"9350";9350;"6.69000.298202";"RÜCKLAGEN ENTNAHME INVESTITIONSRÜCKLAGE";"EINNAHME";69000;51;9;"D";"0800";"   17968784.05";"          0.00";"   17968784.05";"   17968784.05";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"9";"0";"0";"0";"2";"9";"8";"2";"0";"2";"690";"298";"69000";"298202";"2011"
"9351";9351;"6.69000.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";69000;55;9;"D";"0800";"          0.00";"   41140105.17";"   41140105.17";"   41140105.17";"          0.00";"   52571000.00";"          0.00";"   52571000.00";"          0.00";"   11430894.83-";"6";"6";"9";"0";"0";"0";"3";"4";"6";"0";"0";"0";"690";"346";"69000";"346000";"2011"
"9352";9352;"6.78900.298102";"RÜCKLAGEN ENTNAHME AUSGLEICHSRÜCKLAGE";"EINNAHME";78900;51;9;"D";"0800";"     352625.27";"          0.00";"     352625.27";"     352625.27";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"7";"8";"9";"0";"0";"2";"9";"8";"1";"0";"2";"789";"298";"78900";"298102";"2011"
