"lfdnr";"lfdnr2";"Finanzposition";"Bezeichnung";"EinAus";"Teilabschnitt";"RQ";"FG";"SN";"AOB";"AnfZahlungsrueckstand";"LaufendesSoll";"GesamtSoll";"Ist";"SchliesslicheRueckstaende";"Voranschlag";"NachtragsVoranschlage";"GesamtVoranschlag";"UnterschiedLFDSollGesamtVAGuenstiger";"UnterschiedLFDSollGesamtVAUnguenstiger";"zahl";"pol1";"pol2";"pol3";"pol4";"pol5";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"polAgg3";"ecoAgg3";"polAgg5";"ecoAgg6";"year"
"1848";1848;"1.03200.403000";"HANDELSWAREN";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"        114.00";"        114.00";"        114.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        114.00";"1";"0";"3";"2";"0";"0";"4";"0";"3";"0";"0";"0";"032";"403";"03200";"403000";"2011"
"1849";1849;"1.03200.428000";"FERTIG BEZOGENE TEILE";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        100.00";"          0.00";"        100.00";"        100.00";"          0.00";"1";"0";"3";"2";"0";"0";"4";"2";"8";"0";"0";"0";"032";"428";"03200";"428000";"2011"
"1850";1850;"1.03200.428550";"FERTIG BEZOGENE TEILE";"AUSGABE";3200;23;1;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"3";"2";"0";"0";"4";"2";"8";"5";"5";"0";"032";"428";"03200";"428550";"2011"
"1851";1851;"1.03200.452000";"TREIBSTOFFE WB";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"       2265.25";"       2265.25";"       1811.86";"        453.39";"       7300.00";"          0.00";"       7300.00";"       5034.75";"          0.00";"1";"0";"3";"2";"0";"0";"4";"5";"2";"0";"0";"0";"032";"452";"03200";"452000";"2011"
"1852";1852;"1.03200.454100";"REINIGUNGSMITTEL";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"          9.73";"          9.73";"          9.73";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          9.73";"1";"0";"3";"2";"0";"0";"4";"5";"4";"1";"0";"0";"032";"454";"03200";"454100";"2011"
"1853";1853;"1.03200.455000";"CHEMISCHE UND SONSTIGE ARTVERWANDTE MITTEL";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"3";"2";"0";"0";"4";"5";"5";"0";"0";"0";"032";"455";"03200";"455000";"2011"
"1854";1854;"1.03200.456000";"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"       2332.31";"       2332.31";"       2332.31";"          0.00";"       1300.00";"          0.00";"       1300.00";"          0.00";"       1032.31";"1";"0";"3";"2";"0";"0";"4";"5";"6";"0";"0";"0";"032";"456";"03200";"456000";"2011"
"1855";1855;"1.03200.456990";"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"       2904.41";"       2904.41";"       2904.41";"          0.00";"       5700.00";"          0.00";"       5700.00";"       2795.59";"          0.00";"1";"0";"3";"2";"0";"0";"4";"5";"6";"9";"9";"0";"032";"456";"03200";"456990";"2011"
"1856";1856;"1.03200.457000";"DRUCKWERKE";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"        268.24";"        268.24";"        268.24";"          0.00";"        300.00";"          0.00";"        300.00";"         31.76";"          0.00";"1";"0";"3";"2";"0";"0";"4";"5";"7";"0";"0";"0";"032";"457";"03200";"457000";"2011"
"1857";1857;"1.03200.457009";"DRUCKWERKE KOPIERSERVICE - MDPA";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"        207.25";"        207.25";"        207.25";"          0.00";"        100.00";"          0.00";"        100.00";"          0.00";"        107.25";"1";"0";"3";"2";"0";"0";"4";"5";"7";"0";"0";"9";"032";"457";"03200";"457009";"2011"
"1858";1858;"1.03200.457100";"DRUCKWERKE";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        100.00";"          0.00";"        100.00";"        100.00";"          0.00";"1";"0";"3";"2";"0";"0";"4";"5";"7";"1";"0";"0";"032";"457";"03200";"457100";"2011"
"1859";1859;"1.03200.457200";"DRUCKWERKE";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"         28.00";"         28.00";"         28.00";"          0.00";"        100.00";"          0.00";"        100.00";"         72.00";"          0.00";"1";"0";"3";"2";"0";"0";"4";"5";"7";"2";"0";"0";"032";"457";"03200";"457200";"2011"
"1860";1860;"1.03200.458000";"MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"        113.52";"        113.52";"        113.52";"          0.00";"        100.00";"          0.00";"        100.00";"          0.00";"         13.52";"1";"0";"3";"2";"0";"0";"4";"5";"8";"0";"0";"0";"032";"458";"03200";"458000";"2011"
"1861";1861;"1.03200.459000";"SONSTIGE VERBRAUCHSGÜTER";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"       2521.67";"       2521.67";"        384.08";"       2137.59";"        100.00";"          0.00";"        100.00";"          0.00";"       2421.67";"1";"0";"3";"2";"0";"0";"4";"5";"9";"0";"0";"0";"032";"459";"03200";"459000";"2011"
"1862";1862;"1.03200.459100";"SONSTIGE VERBRAUCHSGÜTER";"AUSGABE";3200;23;1;"D";"1006";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        500.00";"          0.00";"        500.00";"        500.00";"          0.00";"1";"0";"3";"2";"0";"0";"4";"5";"9";"1";"0";"0";"032";"459";"03200";"459100";"2011"
"1863";1863;"1.03200.459550";"SONSTIGE VERBRAUCHSGÜTER";"AUSGABE";3200;23;3;"D";"0804";"         23.32";"          0.00";"         23.32";"         23.32";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"3";"2";"0";"0";"4";"5";"9";"5";"5";"0";"032";"459";"03200";"459550";"2011"
"1864";1864;"1.03200.500000";"GELDBEZÜGE DER BEAMTEN DER VERWALTUNG";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"     832211.86";"     832211.86";"     832211.86";"          0.00";"     620000.00";"          0.00";"     620000.00";"          0.00";"     212211.86";"1";"0";"3";"2";"0";"0";"5";"0";"0";"0";"0";"0";"032";"500";"03200";"500000";"2011"
"1865";1865;"1.03200.500010";"GELDBEZÜGE DER BEAMTEN DER VERWALTUNG";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"      39354.06";"      39354.06";"      39354.06";"          0.00";"      50000.00";"          0.00";"      50000.00";"      10645.94";"          0.00";"1";"0";"3";"2";"0";"0";"5";"0";"0";"0";"1";"0";"032";"500";"03200";"500010";"2011"
"1866";1866;"1.03200.501000";"GELDBEZÜGE DER BEAMTEN IN HANDWERKLICHER VERWENDUN";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"      32516.62";"      32516.62";"      32516.62";"          0.00";"      35000.00";"          0.00";"      35000.00";"       2483.38";"          0.00";"1";"0";"3";"2";"0";"0";"5";"0";"1";"0";"0";"0";"032";"501";"03200";"501000";"2011"
"1867";1867;"1.03200.501010";"GELDBEZÜGE DER BEAMTEN IN HANDWERKLICHER VERWENDUN";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"        912.60";"        912.60";"        912.60";"          0.00";"       1900.00";"          0.00";"       1900.00";"        987.40";"          0.00";"1";"0";"3";"2";"0";"0";"5";"0";"1";"0";"1";"0";"032";"501";"03200";"501010";"2011"
"1868";1868;"1.03200.510000";"GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"     188939.08";"     188939.08";"     188939.08";"          0.00";"     320000.00";"          0.00";"     320000.00";"     131060.92";"          0.00";"1";"0";"3";"2";"0";"0";"5";"1";"0";"0";"0";"0";"032";"510";"03200";"510000";"2011"
"1869";1869;"1.03200.510010";"GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"       7109.57";"       7109.57";"       7109.57";"          0.00";"      13800.00";"          0.00";"      13800.00";"       6690.43";"          0.00";"1";"0";"3";"2";"0";"0";"5";"1";"0";"0";"1";"0";"032";"510";"03200";"510010";"2011"
"1870";1870;"1.03200.560000";"REISEGEBÜHREN";"AUSGABE";3200;20;0;"D";"1006";"          0.00";"       5144.64";"       5144.64";"       5144.64";"          0.00";"       4000.00";"          0.00";"       4000.00";"          0.00";"       1144.64";"1";"0";"3";"2";"0";"0";"5";"6";"0";"0";"0";"0";"032";"560";"03200";"560000";"2011"
"1871";1871;"1.03200.563000";"SONSTIGE AUFWANDSENTSCHÄDIGUNGEN";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"       4997.19";"       4997.19";"       4997.19";"          0.00";"       6200.00";"          0.00";"       6200.00";"       1202.81";"          0.00";"1";"0";"3";"2";"0";"0";"5";"6";"3";"0";"0";"0";"032";"563";"03200";"563000";"2011"
"1872";1872;"1.03200.565000";"MEHRLEISTUNGSVERGÜTUNGEN";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"       1900.24";"       1900.24";"       1900.24";"          0.00";"       3500.00";"          0.00";"       3500.00";"       1599.76";"          0.00";"1";"0";"3";"2";"0";"0";"5";"6";"5";"0";"0";"0";"032";"565";"03200";"565000";"2011"
"1873";1873;"1.03200.565300";"MEHRLEISTUNGSVERGÜTUNGEN";"AUSGABE";3200;20;0;"D";"1006";"          0.00";"        989.43";"        989.43";"        989.43";"          0.00";"       2300.00";"          0.00";"       2300.00";"       1310.57";"          0.00";"1";"0";"3";"2";"0";"0";"5";"6";"5";"3";"0";"0";"032";"565";"03200";"565300";"2011"
"1874";1874;"1.03200.567000";"BELOHNUNGEN UND GELDAUSHILFEN";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        200.00";"          0.00";"        200.00";"        200.00";"          0.00";"1";"0";"3";"2";"0";"0";"5";"6";"7";"0";"0";"0";"032";"567";"03200";"567000";"2011"
"1875";1875;"1.03200.569000";"SONSTIGE NEBENGEBÜHREN";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"       5156.22";"       5156.22";"       5156.22";"          0.00";"       8000.00";"          0.00";"       8000.00";"       2843.78";"          0.00";"1";"0";"3";"2";"0";"0";"5";"6";"9";"0";"0";"0";"032";"569";"03200";"569000";"2011"
"1876";1876;"1.03200.580000";"DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"      49344.90";"      49344.90";"      49344.90";"          0.00";"      84000.00";"          0.00";"      84000.00";"      34655.10";"          0.00";"1";"0";"3";"2";"0";"0";"5";"8";"0";"0";"0";"0";"032";"580";"03200";"580000";"2011"
"1877";1877;"1.03200.581000";"SONSTIGE DGB ZUR SOZIALEN SICHERHEIT";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"      75185.62";"      75185.62";"      75185.62";"          0.00";"      80100.00";"          0.00";"      80100.00";"       4914.38";"          0.00";"1";"0";"3";"2";"0";"0";"5";"8";"1";"0";"0";"0";"032";"581";"03200";"581000";"2011"
"1878";1878;"1.03200.581500";"SONSTIGE DGB ZUR SOZIALEN SICHERHEIT";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"      27380.65";"      27380.65";"      27380.65";"          0.00";"      29300.00";"          0.00";"      29300.00";"       1919.35";"          0.00";"1";"0";"3";"2";"0";"0";"5";"8";"1";"5";"0";"0";"032";"581";"03200";"581500";"2011"
"1879";1879;"1.03200.590000";"FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)";"AUSGABE";3200;20;0;"S";"1006";"          0.00";"       1204.50";"       1204.50";"       1204.50";"          0.00";"       1300.00";"          0.00";"       1300.00";"         95.50";"          0.00";"1";"0";"3";"2";"0";"0";"5";"9";"0";"0";"0";"0";"032";"590";"03200";"590000";"2011"
"1880";1880;"1.03200.600000";"STROM";"AUSGABE";3200;24;1;"D";"0804";"       1417.53";"          0.00";"       1417.53";"       1417.53";"          0.00";"       8600.00";"          0.00";"       8600.00";"       8600.00";"          0.00";"1";"0";"3";"2";"0";"0";"6";"0";"0";"0";"0";"0";"032";"600";"03200";"600000";"2011"
"1881";1881;"1.03200.600005";"STROM";"AUSGABE";3200;24;1;"D";"0804";"          0.00";"       7618.08";"       7618.08";"          0.00";"       7618.08";"          0.00";"          0.00";"          0.00";"          0.00";"       7618.08";"1";"0";"3";"2";"0";"0";"6";"0";"0";"0";"0";"5";"032";"600";"03200";"600005";"2011"
"1882";1882;"1.03200.614000";"INSTANDH. VON GEBÄUDEN";"AUSGABE";3200;24;3;"D";"1006";"       6521.01";"          0.00";"       6521.01";"       6521.01";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"3";"2";"0";"0";"6";"1";"4";"0";"0";"0";"032";"614";"03200";"614000";"2011"
"1883";1883;"1.03200.614005";"INSTANDH. VON GEBÄUDEN";"AUSGABE";3200;24;3;"D";"0804";"          0.00";"        343.51";"        343.51";"          0.00";"        343.51";"          0.00";"          0.00";"          0.00";"          0.00";"        343.51";"1";"0";"3";"2";"0";"0";"6";"1";"4";"0";"0";"5";"032";"614";"03200";"614005";"2011"
"1884";1884;"1.03200.614006";"INSTANDH. VON GEBÄUDEN GBG-WERKSTÄTTEN";"AUSGABE";3200;24;3;"D";"1006";"          0.00";"       1203.59";"       1203.59";"       1203.59";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1203.59";"1";"0";"3";"2";"0";"0";"6";"1";"4";"0";"0";"6";"032";"614";"03200";"614006";"2011"
"1885";1885;"1.03200.614100";"INSTANDH. VON GEBÄUDEN";"AUSGABE";3200;24;3;"D";"0804";"        128.38";"          0.00";"        128.38";"        128.38";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"3";"2";"0";"0";"6";"1";"4";"1";"0";"0";"032";"614";"03200";"614100";"2011"
"1886";1886;"1.03200.617000";"INSTANDH. VON FAHRZEUGEN";"AUSGABE";3200;24;3;"D";"1006";"          0.00";"       1830.66";"       1830.66";"       1550.89";"        279.77";"       5500.00";"          0.00";"       5500.00";"       3669.34";"          0.00";"1";"0";"3";"2";"0";"0";"6";"1";"7";"0";"0";"0";"032";"617";"03200";"617000";"2011"
"1887";1887;"1.03200.617008";"INSTANDH. VON FAHRZEUGEN WB";"AUSGABE";3200;24;3;"D";"1006";"          0.00";"       2757.34";"       2757.34";"       2757.34";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       2757.34";"1";"0";"3";"2";"0";"0";"6";"1";"7";"0";"0";"8";"032";"617";"03200";"617008";"2011"
"1888";1888;"1.03200.618000";"INSTANDH. VON SONSTIGEN ANLAGEN";"AUSGABE";3200;24;3;"D";"1006";"        485.32";"       1876.56";"       2361.88";"       2361.88";"          0.00";"       3600.00";"          0.00";"       3600.00";"       1723.44";"          0.00";"1";"0";"3";"2";"0";"0";"6";"1";"8";"0";"0";"0";"032";"618";"03200";"618000";"2011"
"1889";1889;"1.03200.618005";"INSTANDH. VON SONSTIGEN ANLAGEN";"AUSGABE";3200;24;3;"D";"0804";"          0.00";"        277.70";"        277.70";"          0.00";"        277.70";"          0.00";"          0.00";"          0.00";"          0.00";"        277.70";"1";"0";"3";"2";"0";"0";"6";"1";"8";"0";"0";"5";"032";"618";"03200";"618005";"2011"
"1890";1890;"1.03200.620000";"PERSONEN- UND GÜTERTRANSPORTE";"AUSGABE";3200;24;8;"D";"1006";"          0.00";"        547.39";"        547.39";"        547.39";"          0.00";"        800.00";"          0.00";"        800.00";"        252.61";"          0.00";"1";"0";"3";"2";"0";"0";"6";"2";"0";"0";"0";"0";"032";"620";"03200";"620000";"2011"
"1891";1891;"1.03200.630000";"POSTDIENSTE";"AUSGABE";3200;24;1;"D";"MDPA";"          0.00";"        272.11";"        272.11";"        272.11";"          0.00";"        500.00";"          0.00";"        500.00";"        227.89";"          0.00";"1";"0";"3";"2";"0";"0";"6";"3";"0";"0";"0";"0";"032";"630";"03200";"630000";"2011"
"1892";1892;"1.03200.630100";"POSTDIENSTE";"AUSGABE";3200;24;1;"D";"1006";"          0.00";"          5.90";"          5.90";"          5.90";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          5.90";"1";"0";"3";"2";"0";"0";"6";"3";"0";"1";"0";"0";"032";"630";"03200";"630100";"2011"
"1893";1893;"1.03200.631000";"TELEKOMMUNIKATIONSDIENSTE";"AUSGABE";3200;24;1;"D";"1006";"        249.85";"         53.66";"        303.51";"        303.51";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"         53.66";"1";"0";"3";"2";"0";"0";"6";"3";"1";"0";"0";"0";"032";"631";"03200";"631000";"2011"
"1894";1894;"1.03200.631200";"TELEKOMMUNIKATIONSDIENSTE";"AUSGABE";3200;24;1;"D";"1006";"        561.02";"          0.00";"        561.02";"        561.02";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"3";"2";"0";"0";"6";"3";"1";"2";"0";"0";"032";"631";"03200";"631200";"2011"
"1895";1895;"1.03200.631300";"TELEKOMMUNIKATIONSDIENSTE";"AUSGABE";3200;24;1;"D";"MDPA";"         40.72";"          0.00";"         40.72";"         40.72";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"3";"2";"0";"0";"6";"3";"1";"3";"0";"0";"032";"631";"03200";"631300";"2011"
"1896";1896;"1.03200.640000";"RECHTSKOSTEN";"AUSGABE";3200;24;8;"D";"1006";"          0.00";"        713.00";"        713.00";"        713.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        713.00";"1";"0";"3";"2";"0";"0";"6";"4";"0";"0";"0";"0";"032";"640";"03200";"640000";"2011"
"1897";1897;"1.03200.650000";"ZINSEN FÜR FINANZSCHULDEN - INLAND";"AUSGABE";3200;25;8;"S";"SN21";"          0.00";"      38069.10";"      38069.10";"      38069.10";"          0.00";"      37900.00";"          0.00";"      37900.00";"          0.00";"        169.10";"1";"0";"3";"2";"0";"0";"6";"5";"0";"0";"0";"0";"032";"650";"03200";"650000";"2011"
"1898";1898;"1.03200.670000";"VERSICHERUNGEN";"AUSGABE";3200;24;8;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       2900.00";"          0.00";"       2900.00";"       2900.00";"          0.00";"1";"0";"3";"2";"0";"0";"6";"7";"0";"0";"0";"0";"032";"670";"03200";"670000";"2011"
"1899";1899;"1.03200.670005";"VERSICHERUNGEN";"AUSGABE";3200;24;8;"D";"0804";"          0.00";"       3556.44";"       3556.44";"          0.00";"       3556.44";"          0.00";"          0.00";"          0.00";"          0.00";"       3556.44";"1";"0";"3";"2";"0";"0";"6";"7";"0";"0";"0";"5";"032";"670";"03200";"670005";"2011"
"1900";1900;"1.03200.700000";"MIETZINSE";"AUSGABE";3200;24;8;"D";"0804";"          0.00";"        392.43";"        392.43";"        392.43";"          0.00";"       1600.00";"          0.00";"       1600.00";"       1207.57";"          0.00";"1";"0";"3";"2";"0";"0";"7";"0";"0";"0";"0";"0";"032";"700";"03200";"700000";"2011"
"1901";1901;"1.03200.700100";"MIETZINSE KOPIERER";"AUSGABE";3200;24;8;"D";"1006";"          0.00";"       1170.00";"       1170.00";"       1170.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1170.00";"1";"0";"3";"2";"0";"0";"7";"0";"0";"1";"0";"0";"032";"700";"03200";"700100";"2011"
"1902";1902;"1.03200.700700";"MIETZINSE KÜNDIGUNGSVERZICHT";"AUSGABE";3200;24;8;"D";"0804";"          0.00";"      33013.11";"      33013.11";"      33013.11";"          0.00";"     140000.00";"          0.00";"     140000.00";"     106986.89";"          0.00";"1";"0";"3";"2";"0";"0";"7";"0";"0";"7";"0";"0";"032";"700";"03200";"700700";"2011"
"1903";1903;"1.03200.700705";"MIETZINSE KÜNDIGUNGSVERZICHT";"AUSGABE";3200;24;8;"D";"0804";"          0.00";"     130625.25";"     130625.25";"          0.00";"     130625.25";"          0.00";"          0.00";"          0.00";"          0.00";"     130625.25";"1";"0";"3";"2";"0";"0";"7";"0";"0";"7";"0";"5";"032";"700";"03200";"700705";"2011"
"1904";1904;"1.03200.710100";"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.";"AUSGABE";3200;24;8;"D";"1006";"         49.94";"       2072.85";"       2122.79";"       1957.19";"        165.60";"       2000.00";"          0.00";"       2000.00";"          0.00";"         72.85";"1";"0";"3";"2";"0";"0";"7";"1";"0";"1";"0";"0";"032";"710";"03200";"710100";"2011"
"1905";1905;"1.03200.723000";"AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN";"AUSGABE";3200;24;9;"D";"1006";"          0.00";"        778.28";"        778.28";"        778.28";"          0.00";"        300.00";"          0.00";"        300.00";"          0.00";"        478.28";"1";"0";"3";"2";"0";"0";"7";"2";"3";"0";"0";"0";"032";"723";"03200";"723000";"2011"
"1906";1906;"1.03200.728000";"ENTGELTE FÜR SONSTIGE LEISTUNGEN";"AUSGABE";3200;24;1;"D";"1006";"          0.00";"        354.75";"        354.75";"        208.50";"        146.25";"          0.00";"          0.00";"          0.00";"          0.00";"        354.75";"1";"0";"3";"2";"0";"0";"7";"2";"8";"0";"0";"0";"032";"728";"03200";"728000";"2011"
"1907";1907;"1.03200.728005";"ENTGELTE FÜR SONSTIGE LEISTUNGEN";"AUSGABE";3200;24;8;"D";"0804";"          0.00";"         99.05";"         99.05";"          0.00";"         99.05";"          0.00";"          0.00";"          0.00";"          0.00";"         99.05";"1";"0";"3";"2";"0";"0";"7";"2";"8";"0";"0";"5";"032";"728";"03200";"728005";"2011"
"1908";1908;"1.03200.728006";"ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-WERKSTÄTTEN";"AUSGABE";3200;24;3;"D";"1006";"          0.00";"         96.60";"         96.60";"         96.60";"          0.00";"        100.00";"          0.00";"        100.00";"          3.40";"          0.00";"1";"0";"3";"2";"0";"0";"7";"2";"8";"0";"0";"6";"032";"728";"03200";"728006";"2011"
"1909";1909;"1.03200.728007";"ENTGELTE FÜR SONSTIGE LEISTUNGEN";"AUSGABE";3200;24;9;"D";"MD00";"          0.00";"     274661.16";"     274661.16";"     274661.16";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"     274661.16";"1";"0";"3";"2";"0";"0";"7";"2";"8";"0";"0";"7";"032";"728";"03200";"728007";"2011"
"1910";1910;"1.03200.728016";"ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG";"AUSGABE";3200;24;9;"D";"0804";"          0.00";"      37319.24";"      37319.24";"      18659.62";"      18659.62";"          0.00";"          0.00";"          0.00";"          0.00";"      37319.24";"1";"0";"3";"2";"0";"0";"7";"2";"8";"0";"1";"6";"032";"728";"03200";"728016";"2011"
"1911";1911;"1.03200.728026";"ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-SERVICE";"AUSGABE";3200;24;9;"D";"0804";"          0.00";"        240.00";"        240.00";"          0.00";"        240.00";"          0.00";"          0.00";"          0.00";"          0.00";"        240.00";"1";"0";"3";"2";"0";"0";"7";"2";"8";"0";"2";"6";"032";"728";"03200";"728026";"2011"
"1912";1912;"1.03200.728036";"ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-HAUSVERWALTUNG";"AUSGABE";3200;24;9;"D";"0804";"          0.00";"       1960.64";"       1960.64";"          0.00";"       1960.64";"          0.00";"          0.00";"          0.00";"          0.00";"       1960.64";"1";"0";"3";"2";"0";"0";"7";"2";"8";"0";"3";"6";"032";"728";"03200";"728036";"2011"
"1913";1913;"1.03200.728200";"ENTGELTE FÜR SONSTIGE LEISTUNGEN";"AUSGABE";3200;24;9;"D";"1006";"          0.00";"       6420.81";"       6420.81";"       6420.81";"          0.00";"       6400.00";"          0.00";"       6400.00";"          0.00";"         20.81";"1";"0";"3";"2";"0";"0";"7";"2";"8";"2";"0";"0";"032";"728";"03200";"728200";"2011"
"1914";1914;"1.03200.728310";"ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN";"AUSGABE";3200;24;9;"D";"1006";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        800.00";"          0.00";"        800.00";"        800.00";"          0.00";"1";"0";"3";"2";"0";"0";"7";"2";"8";"3";"1";"0";"032";"728";"03200";"728310";"2011"
"1915";1915;"1.03200.728320";"ENTGELTE FÜR SONSTIGE LEISTUNGEN EDV-SCHULUNGEN";"AUSGABE";3200;24;9;"D";"1006";"       1137.24";"       4563.00";"       5700.24";"       4296.24";"       1404.00";"       6100.00";"          0.00";"       6100.00";"       1537.00";"          0.00";"1";"0";"3";"2";"0";"0";"7";"2";"8";"3";"2";"0";"032";"728";"03200";"728320";"2011"
"1916";1916;"1.03200.728980";"ENTGELTE FÜR SONSTIGE LEISTUNGEN";"AUSGABE";3200;24;9;"D";"1006";"        560.33";"       1124.45";"       1684.78";"        560.33";"       1124.45";"          0.00";"          0.00";"          0.00";"          0.00";"       1124.45";"1";"0";"3";"2";"0";"0";"7";"2";"8";"9";"8";"0";"032";"728";"03200";"728980";"2011"
"1917";1917;"1.03300.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"AUSGABE";3300;65;8;"S";"SN21";"          0.00";"     141880.38";"     141880.38";"     141880.38";"          0.00";"     141700.00";"          0.00";"     141700.00";"          0.00";"        180.38";"1";"0";"3";"3";"0";"0";"3";"4";"6";"0";"0";"0";"033";"346";"03300";"346000";"2011"
"1918";1918;"1.03300.400000";"GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS";"AUSGABE";3300;23;1;"D";"BD00";"         27.67";"       1262.49";"       1290.16";"       1290.16";"          0.00";"       1000.00";"          0.00";"       1000.00";"          0.00";"        262.49";"1";"0";"3";"3";"0";"0";"4";"0";"0";"0";"0";"0";"033";"400";"03300";"400000";"2011"
"1919";1919;"1.03300.400030";"GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS";"AUSGABE";3300;23;3;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"3";"3";"0";"0";"4";"0";"0";"0";"3";"0";"033";"400";"03300";"400030";"2011"
"1920";1920;"1.03300.428550";"FERTIG BEZOGENE TEILE";"AUSGABE";3300;23;1;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"3";"3";"0";"0";"4";"2";"8";"5";"5";"0";"033";"428";"03300";"428550";"2011"
"1921";1921;"1.03300.454100";"REINIGUNGSMITTEL";"AUSGABE";3300;23;1;"D";"BD00";"          0.00";"         23.38";"         23.38";"         23.38";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"         23.38";"1";"0";"3";"3";"0";"0";"4";"5";"4";"1";"0";"0";"033";"454";"03300";"454100";"2011"
"1922";1922;"1.03300.456000";"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL";"AUSGABE";3300;23;1;"D";"BD00";"          0.00";"        902.18";"        902.18";"        757.57";"        144.61";"       1000.00";"          0.00";"       1000.00";"         97.82";"          0.00";"1";"0";"3";"3";"0";"0";"4";"5";"6";"0";"0";"0";"033";"456";"03300";"456000";"2011"
